"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Test session with login","PENDING","2020-02-26T17:18:12.752-05:00[America/Bogota]","0.0","0.0"
"Authentication","Create session","PENDING","2020-02-26T17:18:12.768-05:00[America/Bogota]","0.0","0.0"
